"probes"	"genes"
"A_44_P291235"	"Nothing"
"A_44_P291249"	"Nothing"
"A_44_P291264"	"Sele"
"A_44_P291285"	"LOC680590"
"A_44_P291328"	"Nothing"
"A_44_P291381"	"Nothing"
"A_44_P291395"	"Nothing"
"A_44_P291408"	"Nothing"
"A_44_P291456"	"Parva"
"A_44_P291488"	"Nothing"
"A_44_P291509"	"Nothing"
"A_44_P291521"	"Nothing"
"A_44_P291537"	"MGC116121"
"A_44_P291552"	"Mfsd2a"
"A_44_P291626"	"Nothing"
"A_44_P291728"	"Ttn"
"A_44_P291755"	"Nothing"
"A_44_P291758"	"Nothing"
"A_44_P291770"	"Nothing"
"A_44_P291791"	"Nothing"
"A_44_P291862"	"Srpk1"
"A_44_P291872"	"Nothing"
"A_44_P291907"	"Nothing"
"A_44_P291923"	"Nothing"
"A_44_P291938"	"Rab6b"
"A_44_P291952"	"Scarf1"
"A_44_P291996"	"Nothing"
"A_44_P292010"	"Nothing"
"A_44_P292031"	"Nothing"
"A_44_P292040"	"Nothing"
"A_44_P292061"	"Nothing"
"A_44_P292082"	"Nothing"
"A_44_P292094"	"Nothing"
"A_44_P292115"	"Nothing"
"A_44_P292141"	"Nothing"
"A_44_P292176"	"Nothing"
"A_44_P292251"	"Nothing"
"A_44_P292301"	"Nothing"
"A_44_P292310"	"Nothing"
"A_44_P292314"	"Nothing"
"A_44_P292327"	"G6pd"
"A_44_P292380"	"Nothing"
"A_44_P292396"	"Nothing"
"A_44_P292407"	"Nothing"
"A_44_P292419"	"Nothing"
"A_44_P292437"	"Mina"
"A_44_P292462"	"Ghrhr"
"A_44_P292479"	"Dync1i2"
"A_44_P292487"	"Scpep1"
"A_44_P292495"	"Clmp"
"A_44_P292503"	"Atf6b"
"A_44_P292510"	"Slc2a3"
"A_44_P292518"	"Mcpt4"
"A_44_P292529"	"Olr175"
"A_44_P292547"	"Olr463"
"A_44_P292558"	"Skiv2l"
"A_44_P292568"	"Olr233"
"A_44_P292586"	"Olr469"
"A_44_P292587"	"Olr1454"
"A_44_P292619"	"Ppfia3"
"A_44_P292634"	"Fth1"
"A_44_P292665"	"St18"
"A_44_P292669"	"Nothing"
"A_44_P292686"	"Hps1"
"A_44_P292689"	"Syt1"
"A_44_P292692"	"Fgfr1"
"A_44_P292696"	"Nothing"
"A_44_P292711"	"Slc5a11"
"A_44_P292730"	"Rnase1l1"
"A_44_P292745"	"Sfrp4"
"A_44_P292765"	"Pde1c"
"A_44_P292785"	"LOC100310874"
"A_44_P292819"	"LOC683674"
"A_44_P292828"	"Nothing"
"A_44_P292836"	"Ankrd13a"
"A_44_P292850"	"Cabp5"
"A_44_P292877"	"Nothing"
"A_44_P292895"	"Nothing"
"A_44_P292900"	"Wdr11"
"A_44_P292915"	"Tbc1d1"
"A_44_P292934"	"Nothing"
"A_44_P292951"	"Nothing"
"A_44_P292977"	"Nothing"
"A_44_P292980"	"Slitrk1"
"A_44_P292995"	"Trim55"
"A_44_P293001"	"Arse"
"A_44_P293008"	"Ing2"
"A_44_P293014"	"Nothing"
"A_44_P293033"	"Nothing"
"A_44_P293067"	"RGD1561231"
"A_44_P293083"	"Zmat2"
"A_44_P293104"	"Poli"
"A_44_P293124"	"Tasp1"
"A_44_P293143"	"Kcng4"
"A_44_P293161"	"Nothing"
"A_44_P293169"	"Mical1"
"A_44_P293187"	"RGD1560997"
"A_44_P293213"	"Nothing"
"A_44_P293226"	"Slc25a23"
"A_44_P293229"	"LOC691693"
"A_44_P293243"	"Nothing"
"A_44_P293248"	"Nothing"
"A_44_P293254"	"Nothing"
"A_44_P293264"	"LOC100365604"
"A_44_P293275"	"Nothing"
"A_44_P293283"	"Nothing"
"A_44_P293302"	"Cep57"
"A_44_P293303"	"Nothing"
"A_44_P293315"	"Bbs4"
"A_44_P293327"	"Nothing"
"A_44_P293357"	"Ccdc51"
"A_44_P293363"	"LOC367196"
"A_44_P293374"	"Nothing"
"A_44_P293405"	"Tmem102"
"A_44_P293423"	"Hoxb13"
"A_44_P293438"	"Fam195b"
"A_44_P293442"	"Nothing"
"A_44_P293449"	"Nothing"
"A_44_P293453"	"Ppp2r5c"
"A_44_P293460"	"Nothing"
"A_44_P293463"	"Nothing"
"A_44_P293467"	"Nothing"
"A_44_P293480"	"Nothing"
"A_44_P293497"	"Nothing"
"A_44_P293512"	"Sacs"
"A_44_P293558"	"Nothing"
"A_44_P293633"	"Nothing"
"A_44_P293667"	"Vps33b"
"A_44_P293724"	"Usmg5"
"A_44_P293750"	"Rnf14"
"A_44_P293774"	"Nothing"
"A_44_P293791"	"Atp6v0a1"
"A_44_P293804"	"Nothing"
"A_44_P293817"	"Alms1"
"A_44_P293820"	"Nothing"
"A_44_P293830"	"Spag6"
"A_44_P293859"	"Nothing"
"A_44_P293893"	"Kalrn"
"A_44_P293904"	"Syk"
"A_44_P293931"	"Nothing"
"A_44_P293941"	"Nothing"
"A_44_P293944"	"Ghitm"
"A_44_P293948"	"Ghitm"
"A_44_P293956"	"Nothing"
"A_44_P293982"	"Nothing"
"A_44_P294015"	"Nothing"
"A_44_P294024"	"Nothing"
"A_44_P294055"	"Ltv1"
"A_44_P294087"	"RGD1305793"
"A_44_P294103"	"Nothing"
"A_44_P294138"	"Nothing"
"A_44_P294298"	"Nothing"
"A_44_P294359"	"Nothing"
"A_44_P294437"	"Tbce"
"A_44_P294461"	"Nothing"
"A_44_P294467"	"Paxip1"
"A_44_P294475"	"Nothing"
"A_44_P294538"	"Nothing"
"A_44_P294556"	"Nothing"
"A_44_P294571"	"Nothing"
"A_44_P294588"	"Nothing"
"A_44_P294637"	"Nlgn3"
"A_44_P294642"	"Opn5"
"A_44_P294650"	"Brca1"
"A_44_P294658"	"Gng5"
"A_44_P294675"	"Slfn3"
"A_44_P294687"	"Cdk5"
"A_44_P294706"	"Tlr9"
"A_44_P294711"	"Slc11a2"
"A_44_P294721"	"Olr537"
"A_44_P294737"	"Reln"
"A_44_P294753"	"RGD621098"
"A_44_P294756"	"Olr315"
"A_44_P294776"	"Olr839"
"A_44_P294785"	"Olr1121"
"A_44_P294799"	"Adh5"
"A_44_P294808"	"Gli3"
"A_44_P294817"	"Blmh"
"A_44_P294825"	"Glra3"
"A_44_P294838"	"Il1a"
"A_44_P294846"	"Gucy2g"
"A_44_P294857"	"Nothing"
"A_44_P294905"	"Nothing"
"A_44_P294906"	"Nothing"
"A_44_P294914"	"Sec1"
"A_44_P294932"	"Cds1"
"A_44_P294961"	"Exoc8"
"A_44_P294965"	"RT1-DOb"
"A_44_P294996"	"Mycs"
"A_44_P295008"	"Nothing"
"A_44_P295018"	"Cnksr3"
"A_44_P295038"	"Vom2r18"
"A_44_P295042"	"LOC100360880"
"A_44_P295051"	"Tmem9"
"A_44_P295064"	"Trpm1"
"A_44_P295104"	"Tmprss11e"
"A_44_P295118"	"Fam53a"
"A_44_P295125"	"Nothing"
"A_44_P295133"	"Nothing"
"A_44_P295151"	"Flnb"
"A_44_P295163"	"Nothing"
"A_44_P295177"	"Ropn1l"
"A_44_P295187"	"Gmip"
"A_44_P295193"	"Nothing"
"A_44_P295210"	"Nothing"
"A_44_P295223"	"Fam102b"
"A_44_P295236"	"Catsper3"
"A_44_P295256"	"Mtpap"
"A_44_P295275"	"Nothing"
"A_44_P295300"	"Nothing"
"A_44_P295308"	"Chmp4b"
"A_44_P295327"	"Ttpal"
"A_44_P295334"	"Uckl1"
"A_44_P295350"	"Nepn"
"A_44_P295361"	"Tprkb"
"A_44_P295369"	"Nothing"
"A_44_P295376"	"Nothing"
"A_44_P295385"	"Nothing"
"A_44_P295400"	"Akna"
"A_44_P295408"	"Nothing"
"A_44_P295414"	"Nothing"
"A_44_P295430"	"Nothing"
"A_44_P295440"	"Fam154a"
"A_44_P295458"	"Xkr8"
"A_44_P295467"	"RGD1305350"
"A_44_P295478"	"Slc38a6"
"A_44_P295494"	"Nothing"
"A_44_P295522"	"Nothing"
"A_44_P295531"	"RGD1306474"
"A_44_P295548"	"Nothing"
"A_44_P295563"	"Col7a1"
"A_44_P295565"	"Nothing"
"A_44_P295576"	"Nothing"
"A_44_P295585"	"Nothing"
"A_44_P295590"	"RGD1565744"
"A_44_P295606"	"Ccnyl1"
"A_44_P295610"	"Nothing"
"A_44_P295621"	"Nothing"
"A_44_P295626"	"Tbx4"
"A_44_P295639"	"Gbe1"
"A_44_P295652"	"Nothing"
"A_44_P295654"	"Nothing"
"A_44_P295660"	"Nothing"
"A_44_P295669"	"Nothing"
"A_44_P295673"	"Nothing"
"A_44_P295680"	"Nothing"
"A_44_P295694"	"Nothing"
"A_44_P295703"	"Nothing"
"A_44_P295739"	"Nothing"
"A_44_P295759"	"Nothing"
"A_44_P295789"	"Comp"
"A_44_P295803"	"Nothing"
"A_44_P295884"	"Nothing"
"A_44_P295961"	"Nothing"
"A_44_P296008"	"Nothing"
"A_44_P296057"	"Cnn1"
"A_44_P296063"	"Nothing"
"A_44_P296084"	"Nothing"
"A_44_P296092"	"Nothing"
"A_44_P296155"	"RT1-A2"
"A_44_P296167"	"Kng2"
"A_44_P296180"	"Arg2"
"A_44_P296230"	"Nothing"
"A_44_P296255"	"Nothing"
"A_44_P296268"	"Nothing"
"A_44_P296300"	"Nothing"
"A_44_P296370"	"Nothing"
"A_44_P296380"	"Nothing"
"A_44_P296397"	"Nothing"
"A_44_P296405"	"Nothing"
"A_44_P296431"	"Nothing"
"A_44_P296468"	"Nothing"
"A_44_P296473"	"Nothing"
"A_44_P296478"	"Nothing"
"A_44_P296515"	"Nothing"
"A_44_P296523"	"Nothing"
"A_44_P296542"	"Nothing"
"A_44_P296561"	"Nothing"
"A_44_P296570"	"Nothing"
"A_44_P296591"	"Nothing"
"A_44_P296612"	"Nothing"
"A_44_P296622"	"Nothing"
"A_44_P296631"	"Krcc1"
"A_44_P296651"	"Nothing"
"A_44_P296676"	"Nothing"
"A_44_P296698"	"Lypla2"
"A_44_P296703"	"Nothing"
"A_44_P296745"	"Nothing"
"A_44_P296772"	"Lrrc39"
"A_44_P296774"	"Nothing"
"A_44_P296784"	"Nothing"
"A_44_P296794"	"Nothing"
"A_44_P296798"	"Nothing"
"A_44_P296812"	"Camk2a"
"A_44_P296819"	"Nothing"
"A_44_P296836"	"Nothing"
"A_44_P296859"	"Nothing"
"A_44_P296883"	"Nothing"
"A_44_P296884"	"Nothing"
"A_44_P296901"	"Nothing"
"A_44_P296907"	"Nothing"
"A_44_P296924"	"Rdh10"
"A_44_P296956"	"Gfm1"
"A_44_P296994"	"Adrb3"
"A_44_P297044"	"Clint1"
"A_44_P297057"	"Olr1605"
"A_44_P297059"	"Olr741"
"A_44_P297092"	"Phf14"
"A_44_P297100"	"Qk"
"A_44_P297114"	"Naa60"
"A_44_P297119"	"Ppp2r1a"
"A_44_P297134"	"Pdcd2"
"A_44_P297167"	"Cacna1e"
"A_44_P297175"	"Cd36"
"A_44_P297179"	"Agrn"
"A_44_P297208"	"Nothing"
"A_44_P297215"	"Nothing"
"A_44_P297217"	"Sirt2"
"A_44_P297250"	"Fh1"
"A_44_P297252"	"Cyp4v3"
"A_44_P297277"	"LOC365985"
"A_44_P297326"	"Nothing"
"A_44_P297337"	"Nothing"
"A_44_P297348"	"Nothing"
"A_44_P297353"	"Nothing"
"A_44_P297359"	"Nothing"
"A_44_P297383"	"Arpc5"
"A_44_P297389"	"Nothing"
"A_44_P297398"	"Rps6kc1"
"A_44_P297405"	"Nothing"
"A_44_P297420"	"Nothing"
"A_44_P297428"	"Ncapg"
"A_44_P297446"	"Nothing"
"A_44_P297463"	"Nothing"
"A_44_P297492"	"Nothing"
"A_44_P297501"	"LOC686123"
"A_44_P297518"	"Egfem1"
"A_44_P297525"	"Pmf1"
"A_44_P297564"	"Gcm2"
"A_44_P297571"	"RGD1565012"
"A_44_P297583"	"Nothing"
"A_44_P297590"	"Hoxd13"
"A_44_P297596"	"Ctnnd1"
"A_44_P297609"	"Zfp532"
"A_44_P297619"	"Cndp2"
"A_44_P297625"	"Rad21l1"
"A_44_P297633"	"Irx3"
"A_44_P297645"	"Zswim3"
"A_44_P297659"	"Zfpm1"
"A_44_P297680"	"Ctnna3"
"A_44_P297690"	"Aup1"
"A_44_P297703"	"Foxr2"
"A_44_P297722"	"Yipf6"
"A_44_P297737"	"Taf7l"
"A_44_P297743"	"Nothing"
"A_44_P297763"	"Nothing"
"A_44_P297777"	"Flna"
"A_44_P297788"	"Nothing"
"A_44_P297805"	"Nothing"
"A_44_P297818"	"Nothing"
"A_44_P297840"	"Nothing"
"A_44_P297862"	"Nothing"
"A_44_P297872"	"St3gal1"
"A_44_P297880"	"Card10"
"A_44_P297909"	"Tdrd6"
"A_44_P297930"	"Dnah2"
"A_44_P297938"	"RGD1562431"
"A_44_P297949"	"Nothing"
"A_44_P297963"	"Nothing"
"A_44_P297974"	"Fmnl1"
"A_44_P297985"	"Ube2o"
"A_44_P297999"	"Nothing"
"A_44_P298004"	"Nothing"
"A_44_P298013"	"Nudt16l1"
"A_44_P298017"	"Nothing"
"A_44_P298026"	"LOC691984"
"A_44_P298033"	"Nothing"
"A_44_P298036"	"Nothing"
"A_44_P298042"	"Nothing"
"A_44_P298049"	"Ncf1"
"A_44_P298064"	"Gas2"
"A_44_P298105"	"Nothing"
"A_44_P298210"	"Casp8"
"A_44_P298268"	"Lkap"
"A_44_P298292"	"Nothing"
"A_44_P298304"	"Secp43"
"A_44_P298331"	"Gsdma"
"A_44_P298405"	"Nothing"
"A_44_P298465"	"Gcg"
"A_44_P298473"	"Siat7F"
"A_44_P298522"	"Nothing"
"A_44_P298533"	"Nothing"
"A_44_P298645"	"Nothing"
"A_44_P298668"	"Nothing"
"A_44_P298688"	"Nothing"
"A_44_P298709"	"Nothing"
"A_44_P298730"	"Nothing"
"A_44_P298747"	"Nothing"
"A_44_P298751"	"Nothing"
"A_44_P298767"	"Nothing"
"A_44_P298772"	"Nothing"
"A_44_P298829"	"Nothing"
"A_44_P298846"	"Nothing"
"A_44_P298849"	"Nothing"
"A_44_P298886"	"Nothing"
"A_44_P298902"	"Nothing"
"A_44_P298934"	"Nothing"
"A_44_P298951"	"Nothing"
"A_44_P298957"	"Nothing"
"A_44_P298973"	"Nothing"
"A_44_P299026"	"Nothing"
"A_44_P299064"	"Nothing"
"A_44_P299086"	"Nothing"
"A_44_P299109"	"Nothing"
"A_44_P299123"	"Nphp1"
"A_44_P299136"	"Hace1"
"A_44_P299167"	"Nothing"
"A_44_P299213"	"Ifi27"
"A_44_P299214"	"Nothing"
"A_44_P299247"	"Aqp1"
"A_44_P299268"	"Cyth3"
"A_44_P299282"	"Shank2"
"A_44_P299293"	"Skap1"
"A_44_P299296"	"Olr1271"
"A_44_P299303"	"Olr1271"
"A_44_P299319"	"Olr1174"
"A_44_P299344"	"Olr160"
"A_44_P299349"	"Prr3"
"A_44_P299362"	"Olr206"
"A_44_P299370"	"Olr502"
"A_44_P299380"	"Olr1416"
"A_44_P299389"	"Eno1"
"A_44_P299451"	"Cebpg"
"A_44_P299479"	"Gpr176"
"A_44_P299500"	"Gmpr2"
"A_44_P299505"	"LOC192182"
"A_44_P299515"	"Nothing"
"A_44_P299522"	"Hoxb1"
"A_44_P299524"	"Nothing"
"A_44_P299542"	"Nlgn2"
"A_44_P299550"	"Cldn4"
"A_44_P299565"	"Mcpt1"
"A_44_P299571"	"Olah"
"A_44_P299598"	"Add2"
"A_44_P299641"	"Olr1572"
"A_44_P299657"	"Nothing"
"A_44_P299659"	"Alkbh2"
"A_44_P299671"	"Vps4b"
"A_44_P299684"	"Nothing"
"A_44_P299699"	"Tmem135"
"A_44_P299721"	"Rrm1"
"A_44_P299722"	"Rrm1"
"A_44_P299733"	"LOC685863"
"A_44_P299749"	"Nothing"
"A_44_P299776"	"Hnrnpc"
"A_44_P299780"	"Hnrnpc"
"A_44_P299799"	"Nothing"
"A_44_P299830"	"RGD1359508"
"A_44_P299835"	"Pdgfrl"
"A_44_P299855"	"Nothing"
"A_44_P299859"	"Nothing"
"A_44_P299870"	"Hsp90aa1"
"A_44_P299884"	"RGD1562874"
"A_44_P299887"	"Olfml2a"
"A_44_P299897"	"Nothing"
"A_44_P299909"	"Wdr55"
"A_44_P299928"	"Elf5"
"A_44_P299933"	"Nothing"
"A_44_P299942"	"Nothing"
"A_44_P299953"	"Nothing"
"A_44_P299977"	"Akr1b10"
"A_44_P299994"	"RGD1560927"
"A_44_P299999"	"Ltbr"
"A_44_P300018"	"Map3k7"
"A_44_P300030"	"RGD1564704"
"A_44_P300038"	"Nothing"
"A_44_P300052"	"Nothing"
"A_44_P300079"	"Prpf38a"
"A_44_P300084"	"Nothing"
"A_44_P300093"	"Ttc15"
"A_44_P300100"	"Pex10"
"A_44_P300110"	"Zfyve26"
"A_44_P300127"	"Plekhj1"
"A_44_P300137"	"Atp8b3"
"A_44_P300151"	"Best3"
"A_44_P300171"	"Gcat"
"A_44_P300183"	"Slc48a1"
"A_44_P300193"	"Nothing"
"A_44_P300212"	"Fstl4"
"A_44_P300215"	"Stk11ip"
"A_44_P300232"	"Appbp2"
"A_44_P300249"	"Nothing"
"A_44_P300270"	"Lztr1"
"A_44_P300283"	"Nothing"
"A_44_P300295"	"Nothing"
"A_44_P300300"	"Nothing"
"A_44_P300314"	"Nothing"
"A_44_P300320"	"Nothing"
"A_44_P300328"	"Chga"
"A_44_P300348"	"Nothing"
"A_44_P300506"	"Calr"
"A_44_P300531"	"Nothing"
"A_44_P300564"	"Nothing"
"A_44_P300584"	"Nothing"
"A_44_P300612"	"Dpp6"
"A_44_P300618"	"Usp24"
"A_44_P300637"	"Nothing"
"A_44_P300643"	"Nothing"
"A_44_P300751"	"Vegfa"
"A_44_P300788"	"Nothing"
"A_44_P300814"	"Nothing"
"A_44_P300818"	"Nothing"
"A_44_P300846"	"Nothing"
"A_44_P300849"	"Nothing"
"A_44_P300876"	"Nothing"
"A_44_P300897"	"Nothing"
"A_44_P300910"	"Nothing"
"A_44_P300919"	"Lcmt2"
"A_44_P300965"	"Prkrir"
"A_44_P301040"	"Nothing"
"A_44_P301049"	"Nothing"
"A_44_P301067"	"Sgms1"
"A_44_P301074"	"Sgms1"
"A_44_P301115"	"Nothing"
"A_44_P301120"	"Nothing"
"A_44_P301158"	"Nothing"
"A_44_P301168"	"Nothing"
"A_44_P301184"	"Nothing"
"A_44_P301204"	"Nothing"
"A_44_P301219"	"Nothing"
"A_44_P301221"	"Nothing"
"A_44_P301248"	"Smek2"
"A_44_P301274"	"Nothing"
"A_44_P301354"	"Nothing"
"A_44_P301367"	"Nothing"
"A_44_P301399"	"Nothing"
"A_44_P301420"	"Fundc1"
"A_44_P301449"	"Pdcd6ip"
"A_44_P301455"	"Nothing"
"A_44_P301467"	"Nothing"
"A_44_P301494"	"Nothing"
"A_44_P301512"	"G6pc3"
"A_44_P301525"	"Nothing"
"A_44_P301560"	"Nothing"
"A_44_P301572"	"Nothing"
"A_44_P301574"	"Pcnx"
"A_44_P301608"	"Ucp2"
"A_44_P301621"	"Pp3111"
"A_44_P301633"	"Zfp191"
"A_44_P301654"	"Dnajc14"
"A_44_P301679"	"Lhx1"
"A_44_P301695"	"Prkar1a"
"A_44_P301707"	"Olr551"
"A_44_P301717"	"Olr584"
"A_44_P301729"	"Th"
"A_44_P301740"	"Abhd12b"
"A_44_P301749"	"Olr321"
"A_44_P301762"	"Olr1542"
"A_44_P301772"	"Olr841"
"A_44_P301789"	"Rab10"
"A_44_P301797"	"Nothing"
"A_44_P301799"	"Ryk"
"A_44_P301805"	"Ryk"
"A_44_P301812"	"Rap1a"
"A_44_P301817"	"Nothing"
"A_44_P301863"	"Gng12"
"A_44_P301875"	"Wdr44"
"A_44_P301902"	"Nothing"
"A_44_P301922"	"Lgi1"
"A_44_P301936"	"Anxa3"
"A_44_P301963"	"Psmb9"
"A_44_P302012"	"RGD1566355"
"A_44_P302029"	"Nothing"
"A_44_P302043"	"Ccdc63"
"A_44_P302051"	"Actl9b"
"A_44_P302068"	"Sox13"
"A_44_P302087"	"Mtmr10"
"A_44_P302094"	"Nothing"
"A_44_P302102"	"Idua"
"A_44_P302124"	"Tecrl"
"A_44_P302145"	"Slc2a9"
"A_44_P302155"	"B3gnt2"
"A_44_P302164"	"LOC681458"
"A_44_P302172"	"Nothing"
"A_44_P302179"	"Naip5"
"A_44_P302192"	"Nothing"
"A_44_P302208"	"Nothing"
"A_44_P302221"	"Nothing"
"A_44_P302225"	"Mina"
"A_44_P302237"	"Slc39a1"
"A_44_P302245"	"Nothing"
"A_44_P302250"	"Rps28"
"A_44_P302256"	"LOC691448"
"A_44_P302265"	"Pfn3"
"A_44_P302301"	"RGD1563652"
"A_44_P302310"	"Nothing"
"A_44_P302313"	"Fnbp4"
"A_44_P302326"	"Nothing"
"A_44_P302334"	"Cdh16"
"A_44_P302353"	"Il27ra"
"A_44_P302368"	"Nothing"
"A_44_P302383"	"LOC100360484"
"A_44_P302399"	"Slc35f1"
"A_44_P302405"	"Tia1"
"A_44_P302417"	"Setd5"
"A_44_P302427"	"Nothing"
"A_44_P302433"	"Nothing"
"A_44_P302458"	"Trim14"
"A_44_P302476"	"Nothing"
"A_44_P302479"	"Nothing"
"A_44_P302491"	"Nothing"
"A_44_P302519"	"Nothing"
"A_44_P302536"	"Pnn"
"A_44_P302550"	"Cd320"
"A_44_P302551"	"Cd320"
"A_44_P302579"	"Prtg"
"A_44_P302589"	"Nothing"
"A_44_P302599"	"Sun2"
"A_44_P302611"	"Nothing"
"A_44_P302613"	"Lkap"
"A_44_P302624"	"Nothing"
"A_44_P302657"	"Nothing"
"A_44_P302675"	"Mpo"
"A_44_P302676"	"Nothing"
"A_44_P302697"	"Arhgap31"
"A_44_P302714"	"Nothing"
"A_44_P302721"	"Nothing"
"A_44_P302726"	"Nothing"
"A_44_P302728"	"Nothing"
"A_44_P302734"	"Nothing"
"A_44_P302735"	"Nothing"
"A_44_P302770"	"Nothing"
"A_44_P302900"	"Nothing"
"A_44_P302902"	"Nothing"
"A_44_P302923"	"Nothing"
"A_44_P302928"	"Nothing"
"A_44_P302944"	"Rhox5"
"A_44_P302972"	"Nothing"
"A_44_P302996"	"Nothing"
"A_44_P303009"	"Nothing"
"A_44_P303044"	"Supt6h"
"A_44_P303052"	"Nothing"
"A_44_P303090"	"Nothing"
"A_44_P303155"	"Agtpbp1"
"A_44_P303171"	"Nothing"
"A_44_P303197"	"Svs5"
"A_44_P303271"	"Nothing"
"A_44_P303275"	"Nothing"
"A_44_P303301"	"Nothing"
"A_44_P303336"	"Nothing"
"A_44_P303374"	"Nothing"
"A_44_P303393"	"Dnajc9"
"A_44_P303430"	"Nothing"
"A_44_P303455"	"Nothing"
"A_44_P303486"	"Nothing"
"A_44_P303492"	"Nothing"
"A_44_P303507"	"Dcaf6"
"A_44_P303509"	"Dcaf6"
"A_44_P303533"	"Nothing"
"A_44_P303603"	"Nothing"
"A_44_P303610"	"Nothing"
"A_44_P303619"	"Nothing"
"A_44_P303651"	"Wnk1"
"A_44_P303675"	"Nothing"
"A_44_P303716"	"Trim33"
"A_44_P303742"	"Csnk1g3"
"A_44_P303762"	"Nkiras2"
"A_44_P303777"	"Nothing"
"A_44_P303795"	"Nothing"
"A_44_P303796"	"Nothing"
"A_44_P303818"	"Nothing"
"A_44_P303858"	"Fam160b1"
"A_44_P303867"	"Fam160b1"
"A_44_P303872"	"Cwc15"
"A_44_P303883"	"Tbx2"
"A_44_P303890"	"Nothing"
"A_44_P303897"	"Nothing"
"A_44_P303929"	"Rit2"
"A_44_P303933"	"Nothing"
"A_44_P303971"	"Nothing"
"A_44_P303972"	"Nothing"
"A_44_P303982"	"Susd2"
"A_44_P304009"	"Fam111a"
"A_44_P304011"	"Tmem132a"
"A_44_P304024"	"Gmfg"
"A_44_P304026"	"Mrgprb5"
"A_44_P304043"	"Dyt1"
"A_44_P304057"	"Ppp2r2a"
"A_44_P304064"	"P2ry14"
"A_44_P304075"	"Taar7h"
"A_44_P304082"	"Kcnk18"
"A_44_P304119"	"Olr1414"
"A_44_P304129"	"Olr1308"
"A_44_P304148"	"Olr1730"
"A_44_P304159"	"Olr588"
"A_44_P304169"	"Olr1341"
"A_44_P304190"	"Tifa"
"A_44_P304202"	"Slc6a2"
"A_44_P304220"	"Emb"
"A_44_P304238"	"LOC316717"
"A_44_P304259"	"Nothing"
"A_44_P304265"	"Ehd2"
"A_44_P304275"	"Jmjd1c"
"A_44_P304277"	"Lhx3"
"A_44_P304288"	"Nothing"
"A_44_P304297"	"Taar5"
"A_44_P304323"	"Ccl5"
"A_44_P304349"	"RGD1560341"
"A_44_P304374"	"Zfp422"
"A_44_P304387"	"Haao"
"A_44_P304402"	"Tpp2"
"A_44_P304408"	"Dctn3"
"A_44_P304419"	"RGD1311933"
"A_44_P304432"	"Tcp10b"
"A_44_P304449"	"Psg16"
"A_44_P304467"	"Zfp507"
"A_44_P304469"	"Fv1"
"A_44_P304493"	"RGD1305572"
"A_44_P304499"	"Arap1"
"A_44_P304509"	"Nothing"
"A_44_P304521"	"Nothing"
"A_44_P304542"	"Nothing"
"A_44_P304547"	"Nothing"
"A_44_P304560"	"RGD1565093"
"A_44_P304579"	"Nothing"
"A_44_P304590"	"Nothing"
"A_44_P304606"	"Nothing"
"A_44_P304620"	"Adam24"
"A_44_P304633"	"Nothing"
"A_44_P304658"	"Mttp"
"A_44_P304667"	"Slc35b3"
"A_44_P304684"	"Nothing"
"A_44_P304692"	"Myo3b"
"A_44_P304711"	"Zfyve19"
"A_44_P304727"	"Ctif"
"A_44_P304730"	"Mavs"
"A_44_P304740"	"Nothing"
"A_44_P304752"	"Nothing"
"A_44_P304759"	"Nothing"
"A_44_P304792"	"Nothing"
"A_44_P304800"	"Col4a5"
"A_44_P304825"	"Nothing"
"A_44_P304842"	"Tle1"
"A_44_P304868"	"Gpr101"
"A_44_P304873"	"Toe1"
"A_44_P304880"	"RGD1564776"
"A_44_P304899"	"Nothing"
"A_44_P304909"	"Ttc34"
"A_44_P304919"	"Ccdc94"
"A_44_P304930"	"Dazap1"
"A_44_P304940"	"RGD1564744"
"A_44_P304966"	"Ankk1"
"A_44_P304978"	"Prss35"
"A_44_P305004"	"Tcfcp2"
"A_44_P305027"	"Nothing"
"A_44_P305044"	"Sox30"
"A_44_P305057"	"Nothing"
"A_44_P305064"	"Nothing"
"A_44_P305073"	"Atp6v1a"
"A_44_P305081"	"Ube2l3"
"A_44_P305092"	"Nothing"
"A_44_P305099"	"Nothing"
"A_44_P305105"	"Nothing"
"A_44_P305118"	"Nothing"
"A_44_P305123"	"Nothing"
"A_44_P305126"	"Nothing"
"A_44_P305131"	"Nothing"
"A_44_P305135"	"Epb41l1"
"A_44_P305169"	"Nothing"
"A_44_P305200"	"Cstb"
"A_44_P305223"	"Pecam1"
"A_44_P305249"	"Nothing"
"A_44_P305256"	"Nothing"
"A_44_P305272"	"Scara3"
"A_44_P305326"	"Nothing"
"A_44_P305391"	"Nothing"
"A_44_P305482"	"Ppargc1a"
"A_44_P305556"	"Cgm4"
"A_44_P305572"	"Nothing"
"A_44_P305577"	"Nothing"
"A_44_P305626"	"Nothing"
"A_44_P305636"	"Nothing"
"A_44_P305660"	"Nothing"
"A_44_P305677"	"Nothing"
"A_44_P305689"	"Lap3"
"A_44_P305694"	"Nothing"
"A_44_P305742"	"Nothing"
"A_44_P305783"	"Nothing"
"A_44_P305801"	"Jakmip1"
"A_44_P305836"	"Nothing"
"A_44_P305852"	"Mbd6"
"A_44_P305864"	"Nothing"
"A_44_P305870"	"Nothing"
"A_44_P305922"	"Nothing"
"A_44_P305923"	"Nothing"
"A_44_P305926"	"Nothing"
"A_44_P305950"	"Nothing"
"A_44_P305961"	"Nothing"
