"probes"	"genes"
"A_42_P563553"	"Nothing"
"A_42_P563648"	"Pinx1"
"A_42_P563843"	"Cabs1"
"A_42_P564690"	"Fam83e"
"A_42_P564712"	"Taok2"
"A_42_P565275"	"Aspm"
"A_42_P565385"	"Rps23"
"A_42_P565437"	"Sf3a2"
"A_42_P565621"	"Slamf9"
"A_42_P566079"	"Tpm2"
"A_42_P566250"	"Ddr2"
"A_42_P566264"	"Mfng"
"A_42_P566906"	"Eci2"
"A_42_P567267"	"Mt2A"
"A_42_P567527"	"Traf4"
"A_42_P567568"	"Nothing"
"A_42_P568034"	"Rbks"
"A_42_P568060"	"Ppp4r2"
"A_42_P568172"	"Abcc5"
"A_42_P568930"	"Gk2"
"A_42_P568943"	"RGD1311874"
"A_42_P569063"	"Cdyl"
"A_42_P569708"	"Gpsm3"
"A_42_P569832"	"Rab6b"
"A_42_P570241"	"Nampt"
"A_42_P570300"	"Depdc5"
"A_42_P570313"	"Ces1d"
"A_42_P570394"	"Xk"
"A_42_P570677"	"Usp8"
"A_42_P570693"	"Dhx36"
"A_42_P570756"	"Cox8a"
"A_42_P570848"	"Pcsk1"
"A_42_P570919"	"Akr1a1"
"A_42_P571169"	"Ttc17"
"A_42_P571260"	"Maf1"
"A_42_P571388"	"Gpx6"
"A_42_P571433"	"Msx1"
"A_42_P571955"	"Phf5a"
"A_42_P571960"	"Phf5a"
"A_42_P572123"	"Fxyd1"
"A_42_P572258"	"Nothing"
"A_42_P572366"	"Kat7"
"A_42_P572521"	"C5ar1"
"A_42_P572725"	"Abcc3"
"A_42_P572948"	"Prosapip1"
"A_42_P573118"	"RGD1309594"
"A_42_P573232"	"Ube2k"
"A_42_P573296"	"Hdc"
"A_42_P573352"	"Csgalnact1"
"A_42_P573412"	"Spink8"
"A_42_P573610"	"Eif2c1"
"A_42_P573643"	"Shbg"
"A_42_P574153"	"Ndel1"
"A_42_P574345"	"LOC100360737"
"A_42_P574387"	"LOC691196"
"A_42_P574411"	"Thoc3"
"A_42_P574719"	"Slc25a4"
"A_42_P574731"	"Emd"
"A_42_P574859"	"Hamp"
"A_42_P574960"	"Nothing"
"A_42_P575104"	"Sostdc1"
"A_42_P575140"	"Nothing"
"A_42_P575398"	"Aadac"
"A_42_P576454"	"Nrm"
"A_42_P576525"	"Sstr2"
"A_42_P576549"	"Mybpc3"
"A_42_P576621"	"Tmem85"
"A_42_P576953"	"Pla1a"
"A_42_P577129"	"Hnf1a"
"A_42_P577136"	"Fcer2"
"A_42_P577421"	"Nnmt"
"A_42_P577431"	"Bcl3"
"A_42_P577445"	"RGD1306000"
"A_42_P577458"	"Psmb2"
"A_42_P577482"	"Nothing"
"A_42_P577560"	"Tinagl1"
"A_42_P577677"	"Tnni1"
"A_42_P577938"	"Atg9a"
"A_42_P578386"	"Tssk2"
"A_42_P578953"	"Nothing"
"A_42_P579174"	"Cd3d"
"A_42_P579280"	"Nothing"
"A_42_P579376"	"Nbl1"
"A_42_P579577"	"Sec14l3"
"A_42_P579788"	"Rpap1"
